# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
nan nan 3.075000e+00 9.425000e+01
nan nan 3.075000e+00 9.475000e+01
nan nan 3.075000e+00 9.525000e+01
nan nan 3.075000e+00 9.575000e+01
nan nan 3.075000e+00 9.625000e+01
nan nan 3.075000e+00 9.675000e+01
nan nan 3.075000e+00 9.725000e+01
nan nan 3.075000e+00 9.775000e+01
nan nan 3.075000e+00 9.825000e+01
nan nan 3.075000e+00 9.875000e+01
nan nan 3.075000e+00 9.925000e+01
nan nan 3.075000e+00 9.975000e+01
4.934028e-05 9.324842e-06 3.125000e+00 5.025000e+01
3.932477e-05 8.384673e-06 3.125000e+00 5.075000e+01
5.071605e-05 9.418108e-06 3.125000e+00 5.125000e+01
4.553929e-05 8.764478e-06 3.125000e+00 5.175000e+01
6.007287e-05 9.876284e-06 3.125000e+00 5.225000e+01
3.754375e-05 7.664054e-06 3.125000e+00 5.275000e+01
3.472230e-05 7.240452e-06 3.125000e+00 5.325000e+01
2.855071e-05 6.550197e-06 3.125000e+00 5.375000e+01
3.845022e-05 7.848914e-06 3.125000e+00 5.425000e+01
3.657096e-05 7.626001e-06 3.125000e+00 5.475000e+01
4.516711e-05 8.387671e-06 3.125000e+00 5.525000e+01
4.577021e-05 8.356863e-06 3.125000e+00 5.575000e+01
3.128947e-05 6.828228e-06 3.125000e+00 5.625000e+01
3.772020e-05 7.397873e-06 3.125000e+00 5.675000e+01
2.131338e-05 5.696508e-06 3.125000e+00 5.725000e+01
3.994130e-05 7.833383e-06 3.125000e+00 5.775000e+01
6.440039e-05 9.821367e-06 3.125000e+00 5.825000e+01
3.377828e-05 7.043607e-06 3.125000e+00 5.875000e+01
4.581817e-05 8.099952e-06 3.125000e+00 5.925000e+01
3.922662e-05 7.549465e-06 3.125000e+00 5.975000e+01
4.220998e-05 7.977171e-06 3.125000e+00 6.025000e+01
6.573519e-05 9.910328e-06 3.125000e+00 6.075000e+01
5.483014e-05 9.014289e-06 3.125000e+00 6.125000e+01
6.370073e-05 9.603593e-06 3.125000e+00 6.175000e+01
8.273081e-05 1.125858e-05 3.125000e+00 6.225000e+01
5.260818e-05 9.022531e-06 3.125000e+00 6.275000e+01
2.608239e-05 6.326111e-06 3.125000e+00 6.325000e+01
4.761305e-05 8.417127e-06 3.125000e+00 6.375000e+01
3.636849e-05 7.583539e-06 3.125000e+00 6.425000e+01
3.067591e-05 7.037683e-06 3.125000e+00 6.475000e+01
3.853888e-05 7.707933e-06 3.125000e+00 6.525000e+01
4.368612e-05 8.256125e-06 3.125000e+00 6.575000e+01
4.148994e-05 8.298257e-06 3.125000e+00 6.625000e+01
4.286982e-05 8.250587e-06 3.125000e+00 6.675000e+01
3.772236e-05 7.700300e-06 3.125000e+00 6.725000e+01
3.127028e-05 7.370626e-06 3.125000e+00 6.775000e+01
3.251851e-05 7.271579e-06 3.125000e+00 6.825000e+01
2.709472e-05 6.773878e-06 3.125000e+00 6.875000e+01
3.889168e-05 8.487048e-06 3.125000e+00 6.925000e+01
4.373219e-05 8.746534e-06 3.125000e+00 6.975000e+01
3.974426e-05 8.887354e-06 3.125000e+00 7.025000e+01
4.570945e-05 9.330585e-06 3.125000e+00 7.075000e+01
4.280533e-05 9.341149e-06 3.125000e+00 7.125000e+01
2.455291e-05 7.087949e-06 3.125000e+00 7.175000e+01
1.863544e-05 6.211913e-06 3.125000e+00 7.225000e+01
3.215622e-05 8.302917e-06 3.125000e+00 7.275000e+01
3.935448e-05 9.276200e-06 3.125000e+00 7.325000e+01
2.484642e-05 7.491770e-06 3.125000e+00 7.375000e+01
1.847034e-05 6.530430e-06 3.125000e+00 7.425000e+01
4.725384e-05 1.031190e-05 3.125000e+00 7.475000e+01
2.266385e-05 7.167077e-06 3.125000e+00 7.525000e+01
2.361438e-05 7.120171e-06 3.125000e+00 7.575000e+01
2.691272e-05 7.192814e-06 3.125000e+00 7.625000e+01
2.794846e-05 6.587597e-06 3.125000e+00 7.675000e+01
3.226146e-05 6.585546e-06 3.125000e+00 7.725000e+01
3.170120e-05 6.340410e-06 3.125000e+00 7.775000e+01
2.786821e-05 5.941670e-06 3.125000e+00 7.825000e+01
2.136902e-05 5.182844e-06 3.125000e+00 7.875000e+01
1.977678e-05 4.944253e-06 3.125000e+00 7.925000e+01
2.535256e-05 5.532503e-06 3.125000e+00 7.975000e+01
3.213936e-05 6.073889e-06 3.125000e+00 8.025000e+01
3.146979e-05 5.745660e-06 3.125000e+00 8.075000e+01
3.571795e-05 5.872102e-06 3.125000e+00 8.125000e+01
2.739980e-05 5.088050e-06 3.125000e+00 8.175000e+01
3.128561e-05 5.446179e-06 3.125000e+00 8.225000e+01
3.259827e-05 5.590603e-06 3.125000e+00 8.275000e+01
2.819752e-05 5.236199e-06 3.125000e+00 8.325000e+01
2.512147e-05 5.024324e-06 3.125000e+00 8.375000e+01
2.120408e-05 4.741393e-06 3.125000e+00 8.425000e+01
3.108780e-05 5.495623e-06 3.125000e+00 8.475000e+01
3.067268e-05 4.911582e-06 3.125000e+00 8.525000e+01
2.497024e-05 4.220753e-06 3.125000e+00 8.575000e+01
1.668615e-05 3.932972e-06 3.125000e+00 8.625000e+01
9.107078e-06 5.257979e-06 3.125000e+00 8.675000e+01
nan nan 3.125000e+00 8.725000e+01
nan nan 3.125000e+00 8.775000e+01
nan nan 3.125000e+00 8.825000e+01
nan nan 3.125000e+00 8.875000e+01
nan nan 3.125000e+00 8.925000e+01
nan nan 3.125000e+00 8.975000e+01
nan nan 3.125000e+00 9.025000e+01
nan nan 3.125000e+00 9.075000e+01
nan nan 3.125000e+00 9.125000e+01
nan nan 3.125000e+00 9.175000e+01
nan nan 3.125000e+00 9.225000e+01
nan nan 3.125000e+00 9.275000e+01
nan nan 3.125000e+00 9.325000e+01
nan nan 3.125000e+00 9.375000e+01
nan nan 3.125000e+00 9.425000e+01
nan nan 3.125000e+00 9.475000e+01
nan nan 3.125000e+00 9.525000e+01
nan nan 3.125000e+00 9.575000e+01
nan nan 3.125000e+00 9.625000e+01
nan nan 3.125000e+00 9.675000e+01
nan nan 3.125000e+00 9.725000e+01
nan nan 3.125000e+00 9.775000e+01
nan nan 3.125000e+00 9.825000e+01
nan nan 3.125000e+00 9.875000e+01
nan nan 3.125000e+00 9.925000e+01
nan nan 3.125000e+00 9.975000e+01
4.985312e-05 9.421697e-06 3.175000e+00 5.025000e+01
5.079191e-05 9.432182e-06 3.175000e+00 5.075000e+01
4.336725e-05 8.852715e-06 3.175000e+00 5.125000e+01
4.824730e-05 9.285756e-06 3.175000e+00 5.175000e+01
4.353902e-05 8.708410e-06 3.175000e+00 5.225000e+01
4.361763e-05 8.554462e-06 3.175000e+00 5.275000e+01
4.032791e-05 8.065946e-06 3.175000e+00 5.325000e+01
4.011238e-05 7.867114e-06 3.175000e+00 5.375000e+01
5.105067e-05 8.755577e-06 3.175000e+00 5.425000e+01
3.304900e-05 7.212194e-06 3.175000e+00 5.475000e+01
5.945901e-05 9.910254e-06 3.175000e+00 5.525000e+01
3.844724e-05 7.848393e-06 3.175000e+00 5.575000e+01
4.379133e-05 8.276214e-06 3.175000e+00 5.625000e+01
2.912413e-05 6.681837e-06 3.175000e+00 5.675000e+01
3.853096e-05 7.556927e-06 3.175000e+00 5.725000e+01
3.917341e-05 7.682827e-06 3.175000e+00 5.775000e+01
4.454226e-05 8.418061e-06 3.175000e+00 5.825000e+01
3.398071e-05 7.245049e-06 3.175000e+00 5.875000e+01
4.081104e-05 7.854319e-06 3.175000e+00 5.925000e+01
4.442049e-05 8.110285e-06 3.175000e+00 5.975000e+01
3.900241e-05 7.506371e-06 3.175000e+00 6.025000e+01
6.821646e-05 1.016946e-05 3.175000e+00 6.075000e+01
5.106847e-05 8.758523e-06 3.175000e+00 6.125000e+01
4.886105e-05 8.506002e-06 3.175000e+00 6.175000e+01
4.879377e-05 8.368307e-06 3.175000e+00 6.225000e+01
4.094067e-05 7.737332e-06 3.175000e+00 6.275000e+01
3.678760e-05 7.509437e-06 3.175000e+00 6.325000e+01
4.412680e-05 8.194421e-06 3.175000e+00 6.375000e+01
5.447506e-05 8.955924e-06 3.175000e+00 6.425000e+01
2.861877e-05 6.565801e-06 3.175000e+00 6.475000e+01
3.324559e-05 7.254972e-06 3.175000e+00 6.525000e+01
3.272049e-05 7.140419e-06 3.175000e+00 6.575000e+01
3.332892e-05 7.105939e-06 3.175000e+00 6.625000e+01
2.916055e-05 6.873408e-06 3.175000e+00 6.675000e+01
4.938228e-05 9.016116e-06 3.175000e+00 6.725000e+01
3.729187e-05 7.612320e-06 3.175000e+00 6.775000e+01
4.298490e-05 8.430245e-06 3.175000e+00 6.825000e+01
3.711611e-05 7.913297e-06 3.175000e+00 6.875000e+01
3.847022e-05 7.852830e-06 3.175000e+00 6.925000e+01
2.489544e-05 6.653715e-06 3.175000e+00 6.975000e+01
3.795939e-05 8.093093e-06 3.175000e+00 7.025000e+01
3.197523e-05 7.536763e-06 3.175000e+00 7.075000e+01
2.701082e-05 7.219110e-06 3.175000e+00 7.125000e+01
3.917789e-05 8.549357e-06 3.175000e+00 7.175000e+01
5.667114e-05 1.090669e-05 3.175000e+00 7.225000e+01
5.016178e-05 1.003260e-05 3.175000e+00 7.275000e+01
3.798158e-05 9.212107e-06 3.175000e+00 7.325000e+01
1.953228e-05 6.510880e-06 3.175000e+00 7.375000e+01
2.780832e-05 8.027807e-06 3.175000e+00 7.425000e+01
3.657670e-05 9.144380e-06 3.175000e+00 7.475000e+01
4.097682e-05 9.938599e-06 3.175000e+00 7.525000e+01
1.666955e-05 6.300576e-06 3.175000e+00 7.575000e+01
2.326762e-05 7.358112e-06 3.175000e+00 7.625000e+01
3.787483e-05 9.186218e-06 3.175000e+00 7.675000e+01
3.478588e-05 8.436987e-06 3.175000e+00 7.725000e+01
3.017724e-05 7.319283e-06 3.175000e+00 7.775000e+01
2.490675e-05 6.040914e-06 3.175000e+00 7.825000e+01
3.803497e-05 7.063102e-06 3.175000e+00 7.875000e+01
3.542039e-05 6.693976e-06 3.175000e+00 7.925000e+01
3.266907e-05 6.407062e-06 3.175000e+00 7.975000e+01
2.490765e-05 5.569608e-06 3.175000e+00 8.025000e+01
2.071052e-05 5.023122e-06 3.175000e+00 8.075000e+01
2.216845e-05 5.085851e-06 3.175000e+00 8.125000e+01
2.244615e-05 4.898240e-06 3.175000e+00 8.175000e+01
1.964483e-05 4.392771e-06 3.175000e+00 8.225000e+01
2.740760e-05 5.089547e-06 3.175000e+00 8.275000e+01
2.374129e-05 4.748318e-06 3.175000e+00 8.325000e+01
1.720221e-05 4.054634e-06 3.175000e+00 8.375000e+01
3.114651e-05 5.506008e-06 3.175000e+00 8.425000e+01
3.507076e-05 5.928080e-06 3.175000e+00 8.475000e+01
2.639877e-05 5.279793e-06 3.175000e+00 8.525000e+01
2.695021e-05 5.093130e-06 3.175000e+00 8.575000e+01
3.430569e-05 5.171801e-06 3.175000e+00 8.625000e+01
2.431710e-05 4.170358e-06 3.175000e+00 8.675000e+01
1.523648e-05 3.934050e-06 3.175000e+00 8.725000e+01
0.000000e+00 0.000000e+00 3.175000e+00 8.775000e+01
nan nan 3.175000e+00 8.825000e+01
nan nan 3.175000e+00 8.875000e+01
nan nan 3.175000e+00 8.925000e+01
nan nan 3.175000e+00 8.975000e+01
nan nan 3.175000e+00 9.025000e+01
nan nan 3.175000e+00 9.075000e+01
nan nan 3.175000e+00 9.125000e+01
nan nan 3.175000e+00 9.175000e+01
nan nan 3.175000e+00 9.225000e+01
nan nan 3.175000e+00 9.275000e+01
nan nan 3.175000e+00 9.325000e+01
nan nan 3.175000e+00 9.375000e+01
nan nan 3.175000e+00 9.425000e+01
nan nan 3.175000e+00 9.475000e+01
nan nan 3.175000e+00 9.525000e+01
nan nan 3.175000e+00 9.575000e+01
nan nan 3.175000e+00 9.625000e+01
nan nan 3.175000e+00 9.675000e+01
nan nan 3.175000e+00 9.725000e+01
nan nan 3.175000e+00 9.775000e+01
nan nan 3.175000e+00 9.825000e+01
nan nan 3.175000e+00 9.875000e+01
nan nan 3.175000e+00 9.925000e+01
nan nan 3.175000e+00 9.975000e+01
4.116276e-05 8.982915e-06 3.225000e+00 5.025000e+01
5.421965e-05 1.006872e-05 3.225000e+00 5.075000e+01
3.223558e-05 7.598343e-06 3.225000e+00 5.125000e+01
3.644323e-05 8.149313e-06 3.225000e+00 5.175000e+01
5.032748e-05 9.685947e-06 3.225000e+00 5.225000e+01
3.845548e-05 8.392076e-06 3.225000e+00 5.275000e+01
3.716659e-05 8.110843e-06 3.225000e+00 5.325000e+01
4.438529e-05 8.705122e-06 3.225000e+00 5.375000e+01
5.276409e-05 9.327934e-06 3.225000e+00 5.425000e+01
5.487256e-05 9.275624e-06 3.225000e+00 5.475000e+01
3.427457e-05 7.307625e-06 3.225000e+00 5.525000e+01
3.701546e-05 7.892107e-06 3.225000e+00 5.575000e+01
4.029031e-05 8.224612e-06 3.225000e+00 5.625000e+01
5.504467e-05 9.440431e-06 3.225000e+00 5.675000e+01
5.215284e-05 9.078980e-06 3.225000e+00 5.725000e+01
4.320179e-05 8.164708e-06 3.225000e+00 5.775000e+01
4.026035e-05 7.748424e-06 3.225000e+00 5.825000e+01
3.498097e-05 7.458115e-06 3.225000e+00 5.875000e+01
3.215916e-05 7.191248e-06 3.225000e+00 5.925000e+01
4.056225e-05 7.955190e-06 3.225000e+00 5.975000e+01
4.394302e-05 8.160288e-06 3.225000e+00 6.025000e+01
5.143457e-05 8.694278e-06 3.225000e+00 6.075000e+01
5.142352e-05 8.819417e-06 3.225000e+00 6.125000e+01
4.488842e-05 8.335926e-06 3.225000e+00 6.175000e+01
4.990066e-05 8.686836e-06 3.225000e+00 6.225000e+01
3.546882e-05 7.240330e-06 3.225000e+00 6.275000e+01
4.610409e-05 8.150377e-06 3.225000e+00 6.325000e+01
2.862574e-05 6.567434e-06 3.225000e+00 6.375000e+01
